"Date","Price","Open","High","Low","Change %"
"Feb 14, 2019","5.9561","5.9489","6.0015","5.9310","0.09%"
"Feb 13, 2019","5.9508","5.9454","5.9774","5.9197","0.05%"
"Feb 12, 2019","5.9477","5.9526","5.9674","5.9252","-0.06%"
"Feb 11, 2019","5.9515","5.9459","5.9713","5.9279","0.10%"
"Feb 08, 2019","5.9455","5.9729","5.9866","5.9272","-0.51%"
"Feb 07, 2019","5.9760","5.9257","6.0098","5.9154","0.82%"
"Feb 06, 2019","5.9273","5.9368","5.9691","5.9237","-0.11%"
"Feb 05, 2019","5.9338","5.9726","5.9844","5.9142","-0.60%"
"Feb 04, 2019","5.9694","5.9615","6.0024","5.9528","0.04%"
"Feb 01, 2019","5.9668","5.9089","6.0015","5.9050","0.93%"
"Jan 31, 2019","5.9118","5.9980","6.0303","5.9016","-1.43%"
"Jan 30, 2019","5.9977","6.0683","6.0921","5.9833","-1.19%"
"Jan 29, 2019","6.0701","6.0918","6.1360","6.0506","-0.30%"
"Jan 28, 2019","6.0882","5.8299","6.1105","5.8259","1.30%"
"Jan 25, 2019","6.0101","5.9492","6.0192","5.9358","0.96%"
"Jan 24, 2019","5.9527","6.0144","6.0376","5.9393","-1.05%"
"Jan 23, 2019","6.0160","6.0652","6.0901","6.0014","-0.84%"
"Jan 22, 2019","6.0667","6.0498","6.1006","6.0454","0.24%"
"Jan 21, 2019","6.0523","6.0595","6.0972","6.0415","-0.04%"
"Jan 18, 2019","6.0545","6.0910","6.1289","6.0391","-0.64%"
"Jan 17, 2019","6.0938","6.0808","6.1402","6.0736","0.18%"
"Jan 16, 2019","6.0831","6.2168","6.2263","6.0682","-2.14%"
"Jan 15, 2019","6.2162","6.2390","6.2833","6.1947","-0.52%"
"Jan 14, 2019","6.2485","6.2669","6.3720","6.2318","-0.13%"
"Jan 11, 2019","6.2564","6.2283","6.3341","6.2213","0.44%"
"Jan 10, 2019","6.2293","6.3213","6.3636","6.2152","-1.44%"
"Jan 09, 2019","6.3205","6.2758","6.3563","6.2458","0.78%"
"Jan 08, 2019","6.2714","6.1758","6.3114","6.1509","1.49%"
"Jan 07, 2019","6.1793","6.0810","6.2116","6.0659","1.72%"
"Jan 04, 2019","6.0748","6.2278","6.2473","6.0502","-2.47%"
"Jan 03, 2019","6.2284","6.1179","6.6257","6.1095","1.67%"
"Jan 02, 2019","6.1258","6.0773","6.1746","6.0460","0.95%"
"Jan 01, 2019","6.0682","6.0640","6.0875","6.0038","0.03%"
